sample,utc,new_york,pacific,open,high,low,close
S01,2019-12-12T16:11:00+00:00,2019-12-12T11:11:00-05:00,2019-12-12T08:11:00-08:00,11790.0,11792.75,11788.75,11792.75
S01,2019-12-12T16:12:00+00:00,2019-12-12T11:12:00-05:00,2019-12-12T08:12:00-08:00,11791.5,11791.5,11788.0,11791.5
S01,2019-12-12T16:13:00+00:00,2019-12-12T11:13:00-05:00,2019-12-12T08:13:00-08:00,11790.75,11790.75,11785.75,11786.0
S01,2019-12-12T16:14:00+00:00,2019-12-12T11:14:00-05:00,2019-12-12T08:14:00-08:00,11785.75,11786.25,11783.25,11783.5
S01,2019-12-12T16:15:00+00:00,2019-12-12T11:15:00-05:00,2019-12-12T08:15:00-08:00,11784.25,11785.0,11782.0,11785.0
S01,2019-12-12T16:16:00+00:00,2019-12-12T11:16:00-05:00,2019-12-12T08:16:00-08:00,11785.75,11785.75,11782.5,11783.5
S01,2019-12-12T16:17:00+00:00,2019-12-12T11:17:00-05:00,2019-12-12T08:17:00-08:00,11783.5,11785.5,11780.75,11785.5
S01,2019-12-12T16:18:00+00:00,2019-12-12T11:18:00-05:00,2019-12-12T08:18:00-08:00,11785.5,11786.75,11784.0,11785.0
S01,2019-12-12T16:19:00+00:00,2019-12-12T11:19:00-05:00,2019-12-12T08:19:00-08:00,11785.5,11785.5,11782.75,11784.0
S01,2019-12-12T16:20:00+00:00,2019-12-12T11:20:00-05:00,2019-12-12T08:20:00-08:00,11782.75,11784.0,11781.75,11782.75
S01,2019-12-12T16:21:00+00:00,2019-12-12T11:21:00-05:00,2019-12-12T08:21:00-08:00,11783.25,11783.25,11777.25,11778.25
S01,2019-12-12T16:22:00+00:00,2019-12-12T11:22:00-05:00,2019-12-12T08:22:00-08:00,11777.0,11779.0,11774.0,11776.5
S01,2019-12-12T16:23:00+00:00,2019-12-12T11:23:00-05:00,2019-12-12T08:23:00-08:00,11776.5,11777.5,11775.5,11776.0
S01,2019-12-12T16:24:00+00:00,2019-12-12T11:24:00-05:00,2019-12-12T08:24:00-08:00,11775.5,11775.5,11772.25,11774.25
S01,2019-12-12T16:25:00+00:00,2019-12-12T11:25:00-05:00,2019-12-12T08:25:00-08:00,11772.75,11774.75,11771.25,11772.5
S01,2019-12-12T16:26:00+00:00,2019-12-12T11:26:00-05:00,2019-12-12T08:26:00-08:00,11771.75,11772.75,11770.0,11770.0
S01,2019-12-12T16:27:00+00:00,2019-12-12T11:27:00-05:00,2019-12-12T08:27:00-08:00,11770.0,11770.0,11766.0,11768.25
S01,2019-12-12T16:28:00+00:00,2019-12-12T11:28:00-05:00,2019-12-12T08:28:00-08:00,11768.25,11768.25,11763.5,11764.75
S01,2019-12-12T16:29:00+00:00,2019-12-12T11:29:00-05:00,2019-12-12T08:29:00-08:00,11764.25,11764.25,11761.75,11763.5
S01,2019-12-12T16:30:00+00:00,2019-12-12T11:30:00-05:00,2019-12-12T08:30:00-08:00,11763.25,11763.5,11759.0,11759.0
S01,2019-12-12T16:31:00+00:00,2019-12-12T11:31:00-05:00,2019-12-12T08:31:00-08:00,11759.0,11763.25,11756.25,11762.25
S02,2019-12-13T14:46:00+00:00,2019-12-13T09:46:00-05:00,2019-12-13T06:46:00-08:00,11792.75,11796.75,11785.5,11786.5
S02,2019-12-13T14:47:00+00:00,2019-12-13T09:47:00-05:00,2019-12-13T06:47:00-08:00,11786.5,11789.75,11785.25,11788.75
S02,2019-12-13T14:48:00+00:00,2019-12-13T09:48:00-05:00,2019-12-13T06:48:00-08:00,11789.0,11793.25,11785.75,11789.0
S02,2019-12-13T14:49:00+00:00,2019-12-13T09:49:00-05:00,2019-12-13T06:49:00-08:00,11789.25,11793.0,11788.5,11792.0
S02,2019-12-13T14:50:00+00:00,2019-12-13T09:50:00-05:00,2019-12-13T06:50:00-08:00,11792.25,11792.25,11785.5,11786.75
S02,2019-12-13T14:51:00+00:00,2019-12-13T09:51:00-05:00,2019-12-13T06:51:00-08:00,11786.75,11790.5,11785.0,11788.0
S02,2019-12-13T14:52:00+00:00,2019-12-13T09:52:00-05:00,2019-12-13T06:52:00-08:00,11788.25,11795.75,11787.75,11794.25
S02,2019-12-13T14:53:00+00:00,2019-12-13T09:53:00-05:00,2019-12-13T06:53:00-08:00,11794.5,11799.25,11794.25,11798.0
S03,2019-12-13T15:11:00+00:00,2019-12-13T10:11:00-05:00,2019-12-13T07:11:00-08:00,11835.75,11842.75,11834.5,11840.0
S03,2019-12-13T15:12:00+00:00,2019-12-13T10:12:00-05:00,2019-12-13T07:12:00-08:00,11839.75,11842.25,11833.25,11840.25
S03,2019-12-13T15:13:00+00:00,2019-12-13T10:13:00-05:00,2019-12-13T07:13:00-08:00,11840.25,11841.25,11834.0,11835.5
S03,2019-12-13T15:14:00+00:00,2019-12-13T10:14:00-05:00,2019-12-13T07:14:00-08:00,11835.25,11836.25,11828.0,11829.0
S03,2019-12-13T15:15:00+00:00,2019-12-13T10:15:00-05:00,2019-12-13T07:15:00-08:00,11829.25,11829.5,11812.75,11814.25
S03,2019-12-13T15:16:00+00:00,2019-12-13T10:16:00-05:00,2019-12-13T07:16:00-08:00,11814.25,11817.75,11807.0,11813.25
S03,2019-12-13T15:17:00+00:00,2019-12-13T10:17:00-05:00,2019-12-13T07:17:00-08:00,11813.0,11815.25,11809.75,11814.5
S03,2019-12-13T15:18:00+00:00,2019-12-13T10:18:00-05:00,2019-12-13T07:18:00-08:00,11814.5,11825.75,11814.0,11820.75
S03,2019-12-13T15:19:00+00:00,2019-12-13T10:19:00-05:00,2019-12-13T07:19:00-08:00,11820.25,11826.0,11818.5,11824.5
S03,2019-12-13T15:20:00+00:00,2019-12-13T10:20:00-05:00,2019-12-13T07:20:00-08:00,11824.25,11833.75,11822.75,11828.5
S03,2019-12-13T15:21:00+00:00,2019-12-13T10:21:00-05:00,2019-12-13T07:21:00-08:00,11828.75,11834.75,11825.25,11832.5
