date,level_name,level,side,setup_time,entry_time,exit_time,entry,stop,target,exit,reason,gross,net,net_r
2019-12-12,ORH,11785.25,short,2019-12-12T11:15:00-05:00,2019-12-12T11:17:00-05:00,2019-12-12T11:31:00-05:00,11781.5,11793.25,11758.0,11758.0,target,470.0,465.0,1.9787234042553192
2019-12-13,ORH,11796.0,short,2019-12-13T09:50:00-05:00,2019-12-13T09:51:00-05:00,2019-12-13T09:53:00-05:00,11784.75,11797.25,11759.75,11797.5,stop,-255.0,-260.0,-1.04
2019-12-13,PDH,11819.0,short,2019-12-13T10:15:00-05:00,2019-12-13T10:16:00-05:00,2019-12-13T12:00:00-05:00,11812.25,11843.25,11750.25,11811.0,noon,25.0,20.0,0.03225806451612903
2019-12-17,ORL,11897.25,long,2019-12-17T09:55:00-05:00,2019-12-17T09:56:00-05:00,2019-12-17T09:59:00-05:00,11899.25,11893.75,11910.25,11893.5,stop,-115.0,-120.0,-1.0909090909090908
2019-12-17,ORL,11897.25,long,2019-12-17T10:05:00-05:00,2019-12-17T10:06:00-05:00,2019-12-17T12:00:00-05:00,11903.25,11892.75,11924.25,11901.75,noon,-30.0,-35.0,-0.16666666666666666
2019-12-18,PDH,11922.25,short,2019-12-18T09:50:00-05:00,2019-12-18T09:54:00-05:00,2019-12-18T11:17:00-05:00,11911.75,11925.5,11884.25,11925.75,stop,-280.0,-285.0,-1.0363636363636364
2019-12-19,ORH,11933.25,short,2019-12-19T11:00:00-05:00,2019-12-19T11:01:00-05:00,2019-12-19T11:05:00-05:00,11931.25,11935.75,11922.25,11936.0,stop,-95.0,-100.0,-1.1111111111111112
2019-12-23,ORL,12019.75,long,2019-12-23T10:15:00-05:00,2019-12-23T10:19:00-05:00,2019-12-23T12:00:00-05:00,12024.75,12018.25,12037.75,12032.25,noon,150.0,145.0,1.1153846153846154
2019-12-24,ORL,12011.5,long,2019-12-24T10:00:00-05:00,2019-12-24T10:01:00-05:00,2019-12-24T12:00:00-05:00,12014.0,12007.0,12028.0,12020.75,noon,135.0,130.0,0.9285714285714286
2019-12-27,PDH,12099.0,short,2019-12-27T10:00:00-05:00,2019-12-27T10:01:00-05:00,2019-12-27T10:23:00-05:00,12077.0,12104.0,12023.0,12104.25,stop,-545.0,-550.0,-1.0185185185185186
2019-12-30,ORL,12022.25,long,2019-12-30T11:20:00-05:00,2019-12-30T11:22:00-05:00,2019-12-30T12:00:00-05:00,12028.0,12017.0,12050.0,12033.5,noon,110.0,105.0,0.4772727272727273
2020-01-02,ORL,12112.5,long,2020-01-02T10:30:00-05:00,2020-01-02T10:31:00-05:00,2020-01-02T12:00:00-05:00,12116.25,12101.5,12145.75,12126.0,noon,195.0,190.0,0.6440677966101694
2020-01-06,PDL,12067.5,long,2020-01-06T09:45:00-05:00,2020-01-06T09:46:00-05:00,2020-01-06T10:04:00-05:00,12073.25,12060.5,12098.75,12098.75,target,510.0,505.0,1.9803921568627452
2020-01-07,ORL,12132.25,long,2020-01-07T09:50:00-05:00,2020-01-07T09:52:00-05:00,2020-01-07T10:59:00-05:00,12145.25,12131.0,12173.75,12173.75,target,570.0,565.0,1.9824561403508771
2020-01-08,PDH,12185.0,short,2020-01-08T10:10:00-05:00,2020-01-08T10:12:00-05:00,2020-01-08T10:13:00-05:00,12181.5,12190.5,12163.5,12190.75,stop,-185.0,-190.0,-1.0555555555555556
2020-01-08,PDH,12185.0,short,2020-01-08T10:25:00-05:00,2020-01-08T10:27:00-05:00,2020-01-08T10:50:00-05:00,12180.5,12192.0,12157.5,12157.5,target,460.0,455.0,1.9782608695652173
2020-01-09,ORL,12295.75,long,2020-01-09T09:50:00-05:00,2020-01-09T09:53:00-05:00,2020-01-09T10:02:00-05:00,12308.75,12292.5,12341.25,12292.25,stop,-330.0,-335.0,-1.0307692307692307
2020-01-09,ORL,12295.75,long,2020-01-09T10:15:00-05:00,2020-01-09T10:20:00-05:00,2020-01-09T11:27:00-05:00,12303.25,12293.25,12323.25,12293.0,stop,-205.0,-210.0,-1.05
2020-01-10,ORH,12338.75,short,2020-01-10T10:45:00-05:00,2020-01-10T10:46:00-05:00,2020-01-10T11:30:00-05:00,12333.25,12340.0,12319.75,12319.75,target,270.0,265.0,1.962962962962963
2020-01-13,ORH,12326.0,short,2020-01-13T10:15:00-05:00,2020-01-13T10:21:00-05:00,2020-01-13T10:27:00-05:00,12320.25,12330.0,12300.75,12330.25,stop,-200.0,-205.0,-1.0512820512820513
2020-01-13,ORH,12326.0,short,2020-01-13T10:35:00-05:00,2020-01-13T10:36:00-05:00,2020-01-13T10:55:00-05:00,12318.5,12331.75,12292.0,12332.0,stop,-270.0,-275.0,-1.0377358490566038
2020-01-14,ORL,12349.25,long,2020-01-14T10:05:00-05:00,2020-01-14T10:06:00-05:00,2020-01-14T12:00:00-05:00,12354.75,12331.75,12400.75,12373.25,noon,370.0,365.0,0.7934782608695652
2020-01-15,PDH,12392.0,short,2020-01-15T10:50:00-05:00,2020-01-15T10:51:00-05:00,2020-01-15T11:12:00-05:00,12385.75,12393.5,12370.25,12370.25,target,310.0,305.0,1.967741935483871
2020-01-16,ORH,12412.5,short,2020-01-16T09:50:00-05:00,2020-01-16T09:53:00-05:00,2020-01-16T10:10:00-05:00,12399.0,12415.5,12366.0,12415.75,stop,-335.0,-340.0,-1.0303030303030303
2020-01-16,ORH,12412.5,short,2020-01-16T10:15:00-05:00,2020-01-16T10:18:00-05:00,2020-01-16T10:22:00-05:00,12410.75,12417.0,12398.25,12398.25,target,250.0,245.0,1.96
2020-01-17,PDH,12435.75,short,2020-01-17T11:15:00-05:00,2020-01-17T11:20:00-05:00,2020-01-17T11:59:00-05:00,12427.0,12443.0,12395.0,12443.25,stop,-325.0,-330.0,-1.03125
2020-01-20,ORH,12469.25,short,2020-01-20T09:55:00-05:00,2020-01-20T09:57:00-05:00,2020-01-20T11:35:00-05:00,12466.0,12470.25,12457.5,12470.5,stop,-90.0,-95.0,-1.1176470588235294
