date,level_name,level,side,setup_time,entry_time,exit_time,entry,stop,target,exit,reason,gross,net,net_r
2019-12-12,ORH,11785.25,short,2019-12-12T11:15:00-05:00,2019-12-12T11:17:00-05:00,2019-12-12T11:31:00-05:00,11781.5,11793.25,11758.0,11758.0,target,470.0,465.0,1.9787234042553192
2019-12-13,PDH,11819.0,short,2019-12-13T10:15:00-05:00,2019-12-13T10:16:00-05:00,2019-12-13T12:00:00-05:00,11812.25,11843.25,11750.25,11811.0,noon,25.0,20.0,0.03225806451612903
2019-12-17,ORL,11897.25,long,2019-12-17T10:05:00-05:00,2019-12-17T10:06:00-05:00,2019-12-17T12:00:00-05:00,11903.25,11892.75,11924.25,11901.75,noon,-30.0,-35.0,-0.16666666666666666
2019-12-18,ORL,11912.25,long,2019-12-18T10:15:00-05:00,2019-12-18T10:17:00-05:00,2019-12-18T11:43:00-05:00,11915.25,11904.0,11937.75,11937.75,target,450.0,445.0,1.9777777777777779
2019-12-19,ORH,11933.25,short,2019-12-19T11:00:00-05:00,2019-12-19T11:01:00-05:00,2019-12-19T11:05:00-05:00,11931.25,11935.75,11922.25,11936.0,stop,-95.0,-100.0,-1.1111111111111112
2019-12-23,ORL,12019.75,long,2019-12-23T10:15:00-05:00,2019-12-23T10:19:00-05:00,2019-12-23T12:00:00-05:00,12024.75,12018.25,12037.75,12032.25,noon,150.0,145.0,1.1153846153846154
2019-12-27,PDH,12099.0,short,2019-12-27T10:00:00-05:00,2019-12-27T10:01:00-05:00,2019-12-27T10:23:00-05:00,12077.0,12104.0,12023.0,12104.25,stop,-545.0,-550.0,-1.0185185185185186
2019-12-30,ORL,12022.25,long,2019-12-30T11:20:00-05:00,2019-12-30T11:22:00-05:00,2019-12-30T12:00:00-05:00,12028.0,12017.0,12050.0,12033.5,noon,110.0,105.0,0.4772727272727273
2020-01-02,ORL,12112.5,long,2020-01-02T10:30:00-05:00,2020-01-02T10:31:00-05:00,2020-01-02T12:00:00-05:00,12116.25,12101.5,12145.75,12126.0,noon,195.0,190.0,0.6440677966101694
2020-01-07,PDH,12163.25,short,2020-01-07T10:25:00-05:00,2020-01-07T10:26:00-05:00,2020-01-07T10:59:00-05:00,12161.25,12172.5,12138.75,12172.75,stop,-230.0,-235.0,-1.0444444444444445
2020-01-08,PDH,12185.0,short,2020-01-08T10:10:00-05:00,2020-01-08T10:12:00-05:00,2020-01-08T10:13:00-05:00,12181.5,12190.5,12163.5,12190.75,stop,-185.0,-190.0,-1.0555555555555556
2020-01-08,PDH,12185.0,short,2020-01-08T10:25:00-05:00,2020-01-08T10:27:00-05:00,2020-01-08T10:50:00-05:00,12180.5,12192.0,12157.5,12157.5,target,460.0,455.0,1.9782608695652173
2020-01-09,ORL,12295.75,long,2020-01-09T10:15:00-05:00,2020-01-09T10:20:00-05:00,2020-01-09T11:27:00-05:00,12303.25,12293.25,12323.25,12293.0,stop,-205.0,-210.0,-1.05
2020-01-10,ORH,12338.75,short,2020-01-10T10:45:00-05:00,2020-01-10T10:46:00-05:00,2020-01-10T11:30:00-05:00,12333.25,12340.0,12319.75,12319.75,target,270.0,265.0,1.962962962962963
2020-01-13,ORH,12326.0,short,2020-01-13T10:15:00-05:00,2020-01-13T10:21:00-05:00,2020-01-13T10:27:00-05:00,12320.25,12330.0,12300.75,12330.25,stop,-200.0,-205.0,-1.0512820512820513
2020-01-13,ORH,12326.0,short,2020-01-13T10:35:00-05:00,2020-01-13T10:36:00-05:00,2020-01-13T10:55:00-05:00,12318.5,12331.75,12292.0,12332.0,stop,-270.0,-275.0,-1.0377358490566038
2020-01-14,ORL,12349.25,long,2020-01-14T10:05:00-05:00,2020-01-14T10:06:00-05:00,2020-01-14T12:00:00-05:00,12354.75,12331.75,12400.75,12373.25,noon,370.0,365.0,0.7934782608695652
2020-01-15,PDH,12392.0,short,2020-01-15T10:50:00-05:00,2020-01-15T10:51:00-05:00,2020-01-15T11:12:00-05:00,12385.75,12393.5,12370.25,12370.25,target,310.0,305.0,1.967741935483871
