entry_time,exit_time,direction,entry,stop,target,risk_points,outcome,raw_r,net_r,pnl,session,year
2020-12-10 14:55:00-05:00,2020-12-10 14:55:00-05:00,LONG,12370.5,12373.75,12373.75,3.25,STOP,-1.0,-1.2184615384615385,-79.2,2020-12-09,2020
2020-12-10 15:35:00-05:00,2020-12-10 15:36:00-05:00,SHORT,12403.75,12410.5,12397.0,6.75,STOP,-1.0,-1.1051851851851853,-149.20000000000002,2020-12-09,2020
2020-12-11 14:25:00-05:00,2020-12-11 14:26:00-05:00,SHORT,12339.5,12343.5,12335.5,4.0,TARGET,1.0,0.8225,65.8,2020-12-10,2020
2020-12-14 12:30:00-05:00,2020-12-14 12:31:00-05:00,LONG,12520.0,12514.0,12526.0,6.0,STOP,-1.0,-1.1183333333333334,-134.20000000000002,2020-12-13,2020
2020-12-14 15:30:00-05:00,2020-12-14 15:32:00-05:00,SHORT,12517.25,12528.0,12506.5,10.75,TARGET,1.0,0.933953488372093,200.8,2020-12-13,2020
2020-12-15 12:45:00-05:00,2020-12-15 12:53:00-05:00,SHORT,12529.75,12536.25,12523.25,6.5,STOP,-1.0,-1.1092307692307692,-144.2,2020-12-14,2020
2020-12-15 13:35:00-05:00,2020-12-15 13:38:00-05:00,SHORT,12548.25,12553.75,12542.75,5.5,STOP,-1.0,-1.1290909090909091,-124.2,2020-12-14,2020
2020-12-16 12:10:00-05:00,2020-12-16 12:10:00-05:00,SHORT,12656.25,12660.25,12652.25,4.0,TARGET,1.0,0.8225,65.8,2020-12-15,2020
2020-12-16 12:50:00-05:00,2020-12-16 12:50:00-05:00,SHORT,12639.0,12649.5,12628.5,10.5,TARGET,1.0,0.9323809523809524,195.8,2020-12-15,2020
2020-12-17 12:40:00-05:00,2020-12-17 12:41:00-05:00,LONG,12712.75,12705.0,12720.5,7.75,TARGET,1.0,0.9083870967741936,140.8,2020-12-16,2020
2020-12-17 13:35:00-05:00,2020-12-17 13:37:00-05:00,LONG,12719.25,12713.0,12725.5,6.25,STOP,-1.0,-1.1136,-139.2,2020-12-16,2020
2020-12-18 12:55:00-05:00,2020-12-18 12:57:00-05:00,LONG,12712.5,12708.25,12716.75,4.25,STOP,-1.0,-1.1670588235294117,-99.19999999999999,2020-12-17,2020
2020-12-21 12:10:00-05:00,2020-12-21 12:10:00-05:00,SHORT,12597.0,12600.5,12593.5,3.5,TARGET,1.0,0.7971428571428572,55.8,2020-12-20,2020
2020-12-21 15:00:00-05:00,2020-12-21 15:00:00-05:00,LONG,12682.0,12678.0,12686.0,4.0,TARGET,1.0,0.8225,65.8,2020-12-20,2020
2020-12-22 13:05:00-05:00,2020-12-22 13:05:00-05:00,SHORT,12684.0,12689.25,12678.75,5.25,STOP,-1.0,-1.1352380952380952,-119.19999999999999,2020-12-21,2020
2020-12-22 14:10:00-05:00,2020-12-22 14:37:00-05:00,SHORT,12707.0,12717.5,12696.5,10.5,TARGET,1.0,0.9323809523809524,195.8,2020-12-21,2020
2020-12-23 12:10:00-05:00,2020-12-23 12:11:00-05:00,LONG,12689.25,12682.75,12695.75,6.5,TARGET,1.0,0.8907692307692308,115.8,2020-12-22,2020
2020-12-23 13:05:00-05:00,2020-12-23 13:06:00-05:00,SHORT,12709.5,12712.75,12706.25,3.25,STOP,-1.0,-1.2184615384615385,-79.2,2020-12-22,2020
2020-12-28 13:25:00-05:00,2020-12-28 13:28:00-05:00,SHORT,12835.0,12840.75,12829.25,5.75,STOP,-1.0,-1.1234782608695653,-129.20000000000002,2020-12-27,2020
2020-12-28 14:05:00-05:00,2020-12-28 14:06:00-05:00,SHORT,12843.0,12846.0,12840.0,3.0,TARGET,1.0,0.7633333333333333,45.8,2020-12-27,2020
2020-12-29 13:40:00-05:00,2020-12-29 13:52:00-05:00,LONG,12849.5,12841.75,12857.25,7.75,TARGET,1.0,0.9083870967741936,140.8,2020-12-28,2020
