signal_time,entry_time,exit_time,direction,signal_bar_index,entry_price,exit_price,stop_price,target_price,stop_ticks,gross_dollars,costs_dollars,net_dollars,r_multiple,exit_reason,session_date,regime_ratio,expected_ticks,prior_tr_ticks,year
2020-12-10 13:05:00-05:00,2020-12-10 13:10:00-05:00,2020-12-10 13:13:00-05:00,LONG,391,12393.5,12400.25,12386.5,12400.5,28,135.0,14.2,130.8,0.9342857142857144,TARGET,2020-12-10,2.3193277310924367,55.18840579710145,128.0,2020
2020-12-10 13:55:00-05:00,2020-12-10 14:00:00-05:00,2020-12-10 14:01:00-05:00,LONG,401,12390.25,12397.25,12383.0,12397.5,29,140.0,14.2,135.8,0.9365517241379311,TARGET,2020-12-10,1.5985991379310345,57.15942028985508,86.0,2020
2020-12-10 18:25:00-05:00,2020-12-10 18:30:00-05:00,2020-12-10 18:34:00-05:00,LONG,440,12403.25,12406.0,12400.25,12406.25,12,55.0,14.2,50.8,0.8466666666666666,TARGET,2020-12-11,1.2988980716253444,21.043478260869563,41.0,2020
2020-12-10 19:00:00-05:00,2020-12-10 19:05:00-05:00,2020-12-10 19:06:00-05:00,LONG,447,12409.5,12412.25,12406.5,12412.5,12,55.0,14.2,50.8,0.8466666666666666,TARGET,2020-12-11,2.003787878787879,22.956521739130434,46.0,2020
2020-12-13 18:40:00-05:00,2020-12-13 18:45:00-05:00,2020-12-13 18:48:00-05:00,SHORT,718,12410.75,12414.0,12413.75,12407.75,12,-65.0,14.2,-69.2,-1.1533333333333333,STOP,2020-12-14,1.4759358288770055,21.681159420289852,32.0,2020
2020-12-13 19:30:00-05:00,2020-12-13 19:35:00-05:00,2020-12-13 19:38:00-05:00,SHORT,728,12414.25,12417.5,12417.25,12411.25,12,-65.0,14.2,-69.2,-1.1533333333333333,STOP,2020-12-14,1.5,22.0,33.0,2020
2020-12-14 18:20:00-05:00,2020-12-14 18:25:00-05:00,2020-12-14 18:40:00-05:00,LONG,987,12484.0,12480.0,12480.25,12487.75,15,-80.0,14.2,-84.2,-1.1226666666666667,STOP,2020-12-15,1.6524926686217007,29.65217391304348,49.0,2020
2020-12-14 18:50:00-05:00,2020-12-14 18:55:00-05:00,2020-12-14 18:56:00-05:00,SHORT,993,12477.25,12480.5,12480.25,12474.25,12,-65.0,14.2,-69.2,-1.1533333333333333,STOP,2020-12-15,2.5799120234604107,19.768115942028984,51.0,2020
2020-12-15 18:25:00-05:00,2020-12-15 18:30:00-05:00,2020-12-15 18:31:00-05:00,SHORT,1261,12596.25,12593.5,12599.25,12593.25,12,55.0,14.2,50.8,0.8466666666666666,TARGET,2020-12-16,1.2617554858934168,18.492753623188403,35.0,2020
2020-12-15 21:05:00-05:00,2020-12-15 21:10:00-05:00,2020-12-15 21:13:00-05:00,LONG,1293,12596.25,12599.0,12593.25,12599.25,12,55.0,14.2,50.8,0.8466666666666666,TARGET,2020-12-16,1.9166666666666665,21.91304347826087,42.0,2020
